"metric" "n_bands" "simulation" "p" "method" "value"
"kappa" "10" "7" "25" "LASSO" 0
"condnum" "10" "7" "25" "LASSO" 25.9894544643665
"EL" "10" "7" "25" "LASSO" 0.121969179117052
"RMSE" "10" "7" "25" "LASSO" 0.00548807177331684
"F1" "10" "7" "25" "LASSO" 1
"eTPR" "10" "7" "25" "LASSO" 1
"eTNR" "10" "7" "25" "LASSO" 1
"ePPV" "10" "7" "25" "LASSO" 1
"d" "10" "7" "25" "LASSO" 0.65
"iters" "10" "7" "25" "LASSO" 14
"time.user.self" "10" "7" "25" "LASSO" 0.0100000000020373
"time.sys.self" "10" "7" "25" "LASSO" 0
"time.elapsed" "10" "7" "25" "LASSO" 0
"time.user.child" "10" "7" "25" "LASSO" NA
"time.sys.child" "10" "7" "25" "LASSO" NA
"cv.iters" "10" "7" "25" "LASSO" NA
"cv.time.user.self" "10" "7" "25" "LASSO" 0.00380000000004657
"cv.time.sys.self" "10" "7" "25" "LASSO" 0
"cv.time.elapsed" "10" "7" "25" "LASSO" 0.00320000000006985
"cv.time.user.child" "10" "7" "25" "LASSO" NA
"cv.time.sys.child" "10" "7" "25" "LASSO" NA
"cv.all.time.user.self" "10" "7" "25" "LASSO" 0.380000000004657
"cv.all.time.sys.self" "10" "7" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "7" "25" "LASSO" 0.320000000006985
"cv.all.time.user.child" "10" "7" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "7" "25" "LASSO" NA
"n.cv.par" "10" "7" "25" "LASSO" 20
"lambda" "3" "8" "25" "LASSO" 0
"lambdar0" "3" "8" "25" "LASSO" 0
"kappa" "3" "8" "25" "LASSO" 0
"condnum" "3" "8" "25" "LASSO" 25.604690568905
"EL" "3" "8" "25" "LASSO" 0.0427821450434536
"RMSE" "3" "8" "25" "LASSO" 0.00219638691379778
"F1" "3" "8" "25" "LASSO" 1
"eTPR" "3" "8" "25" "LASSO" 1
"eTNR" "3" "8" "25" "LASSO" 1
"ePPV" "3" "8" "25" "LASSO" 1
"d" "3" "8" "25" "LASSO" 0.23
"iters" "3" "8" "25" "LASSO" 10
"time.user.self" "3" "8" "25" "LASSO" 0
"time.sys.self" "3" "8" "25" "LASSO" 0
"time.elapsed" "3" "8" "25" "LASSO" 0.0200000000186265
"time.user.child" "3" "8" "25" "LASSO" NA
"time.sys.child" "3" "8" "25" "LASSO" NA
"cv.iters" "3" "8" "25" "LASSO" NA
"cv.time.user.self" "3" "8" "25" "LASSO" 0.00220000000000141
"cv.time.sys.self" "3" "8" "25" "LASSO" 0
"cv.time.elapsed" "3" "8" "25" "LASSO" 0.00400000000110595
"cv.time.user.child" "3" "8" "25" "LASSO" NA
"cv.time.sys.child" "3" "8" "25" "LASSO" NA
"cv.all.time.user.self" "3" "8" "25" "LASSO" 0.220000000000141
"cv.all.time.sys.self" "3" "8" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "8" "25" "LASSO" 0.400000000110595
"cv.all.time.user.child" "3" "8" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "8" "25" "LASSO" NA
"n.cv.par" "3" "8" "25" "LASSO" 20
