"metric" "n_bands" "simulation" "n" "method" "value"
"EL" "B" "N" "B" "MLE" 6.61481502961226
"RMSE" "B" "N" "B" "MLE" 0.00854962444330563
"kappa" "C" "N" "B" "MLE" 0
"condnum" "C" "N" "B" "MLE" 272.882568820291
"EL" "C" "N" "B" "MLE" 13.9091149058712
"RMSE" "C" "N" "B" "MLE" 0.0149353002370845
"kappa" "A" "O" "B" "MLE" 0
"condnum" "A" "O" "B" "MLE" 64.4047629678945
"EL" "A" "O" "B" "MLE" 1.32833198042611
"RMSE" "A" "O" "B" "MLE" 0.00109773991548184
"kappa" "B" "O" "B" "MLE" 0
"condnum" "B" "O" "B" "MLE" 132.260344851939
"EL" "B" "O" "B" "MLE" 6.93493991691027
"RMSE" "B" "O" "B" "MLE" 0.00842823091480621
"kappa" "C" "O" "B" "MLE" 0
"condnum" "C" "O" "B" "MLE" 421.561506744884
"EL" "C" "O" "B" "MLE" 13.9491579817659
